Iterations,Train Loss,Test Loss,Learning Rate,Test Accuracy
2000,1.6791835969984532,1.4430650295734406,0.001,48.61
4000,1.3953439790606499,1.2426590110301972,0.001,54.67
6000,1.2616668246239424,1.1757289851427077,0.001,57.4
8250,1.154338619351387,1.090593021082878,0.001,61.21
10250,1.1045329854190349,1.0324577941656112,0.001,63.25
12250,1.041840866751969,0.9807623167216778,0.001,65.23
14500,0.9791494627818466,0.9245488662362099,0.001,67.35
16500,0.9648169288262725,0.9767762167215347,0.001,65.94
18500,0.9628103386163711,0.8754882369160653,0.001,68.7
20750,0.9090819286331534,0.8591308331370354,0.001,69.49
22750,0.8921160755828023,0.8505033922612667,0.001,70.0
24750,0.8829015329144895,0.8234071151554585,0.001,71.51
27000,0.8493915222957731,0.8260144035995006,0.001,71.34
29000,0.835430636305362,0.8214017613291741,0.001,71.47
31000,0.8291820303350687,0.8330479895591736,0.001,71.09
33250,0.8134444323405623,0.7984094603061676,0.001,72.39
35250,0.8190890535116195,0.8368014115691185,0.001,70.77
37250,0.7861738107725977,0.7719304910838604,0.001,73.08
39500,0.7861751578710974,0.7570002049565315,0.001,74.07
41500,0.7647391936853528,0.754395991051197,0.001,73.92
43500,0.7721437941789627,0.7556699114024639,0.001,73.55
45750,0.742397845743224,0.7407685529053212,0.001,74.11
47750,0.7496660001650453,0.7485010178297758,0.001,73.61
49750,0.7393179489076137,0.7402127107560634,0.001,74.46
52000,0.7272725349143148,0.7014413602083921,0.001,75.51
54000,0.730215144943446,0.756780254727602,0.001,73.21
56000,0.7177803406063468,0.7299744422614575,0.001,74.84
58250,0.6991834794599563,0.7040891120314599,0.001,75.5
60250,0.7149033021051436,0.7092401124477387,0.001,75.35
62250,0.7014245014097542,0.7058151566803456,0.001,75.47
64500,0.6838405433632433,0.6732924211561679,0.001,76.72
66500,0.6924589316714556,0.6938421258091927,0.001,75.85
68500,0.6979288148693741,0.6905772860080004,0.001,76.05
70750,0.6880438234210015,0.6752773673474789,0.001,76.51
72750,0.676179633371532,0.7316324903547764,0.001,74.82
74750,0.6759718095362186,0.6810406718373299,0.001,76.42
77000,0.6631275705471635,0.660035401570797,0.001,77.21
79000,0.6626883888114243,0.6537276183485985,0.001,77.61
81000,0.6689392207190394,0.6693579847455025,0.001,76.78
83250,0.6549974260609597,0.6675505937367677,0.001,76.95
85250,0.6536249119518325,0.6978231545418501,0.001,76.0
87250,0.6642070479076355,0.6592089598327875,0.001,77.34
89500,0.6390384120624513,0.6494279651865363,0.001,77.97
91500,0.642133313565515,0.7016607193171978,0.001,75.8
93500,0.644911353379488,0.6511068583399058,0.001,77.7
95750,0.6340019064452499,0.6297173533946275,0.001,78.08
97750,0.6229817240191624,0.6774141215413809,0.001,76.9
99750,0.6353321904120967,0.6555785118281842,0.001,77.6
102000,0.6229179354738444,0.639290402597189,0.001,77.95
104000,0.6307554836934433,0.63531786506325,0.001,78.57
106000,0.6186182243740186,0.6382109194457531,0.001,78.01
108250,0.6119359693191946,0.6540931281238794,0.001,77.39
110250,0.6146949856784195,0.635447825717926,0.001,78.04
112250,0.5967146528149023,0.6188390245944262,0.0005,78.79
114500,0.5603894703951664,0.6044288624793291,0.0005,79.58
116500,0.5652039070213214,0.5985468999534845,0.0005,79.31
118500,0.5618937191404402,0.6059700547277928,0.0005,79.78
120750,0.5556192512782291,0.6005614067167043,0.0005,79.2
122750,0.5585166608151049,0.5927261696457863,0.0005,79.62
124750,0.5637939495220781,0.6014624552220106,0.0005,79.27
127000,0.5433236159691587,0.6047191280305385,0.0005,79.27
129000,0.5518470670273528,0.5876720273703336,0.0005,79.87
131000,0.5546772126527503,0.5793534408226609,0.0005,80.06
133250,0.5338173961155117,0.5885184690207242,0.0005,79.51
135250,0.5498707695882767,0.5765636224806309,0.0005,80.08
137250,0.5422522088531405,0.5906836244717241,0.0005,79.92
139500,0.5403540560065303,0.5805851235151291,0.0005,80.06
141500,0.5453521443000063,0.5917505457296968,0.0005,79.56
143500,0.5452863635686226,0.5812092082872987,0.0005,80.35
145750,0.5272043416211382,0.5729487024024129,0.0005,80.4
147750,0.5457607969976962,0.5860598817765713,0.0005,79.82
149750,0.5422544427867979,0.5756091857612133,0.0005,80.5
152000,0.5429176110792905,0.567862670609355,0.0005,80.43
154000,0.5432508799675853,0.5794035785347224,0.0005,79.9
156000,0.5296384659081231,0.5956200006261468,0.0005,79.63
158250,0.5315620466722175,0.58864159039855,0.0005,79.99
160250,0.5333772682277486,0.5621981608077884,0.0005,80.81
162250,0.5329036841262131,0.5848954680740833,0.0005,79.77
164500,0.5347621073967311,0.5761406051695347,0.0005,80.28
166500,0.5307236762233078,0.5751015088364482,0.0005,80.27
168500,0.5283893050234765,0.5772937604144216,0.0005,80.57
170750,0.5309564242651686,0.5861931406438351,0.0005,79.62
172750,0.5093519813138991,0.5748071671396494,0.0005,80.47
174750,0.526527309875004,0.5630405688509345,0.0005,80.56
177000,0.50254258143669,0.5585495787605643,0.00025,81.14
179000,0.4962504411707632,0.5526238342449069,0.00025,81.3
181000,0.49840690923435615,0.5605117513090372,0.00025,81.31
183250,0.4974190820469521,0.5548347041517496,0.00025,81.27
185250,0.49386527756997384,0.5475367307856679,0.00025,80.99
187250,0.49404011464398356,0.5448554406270385,0.00025,81.22
189500,0.4935048280642368,0.5525554496653378,0.00025,81.72
191500,0.4966305860602297,0.5551729056492448,0.00025,81.13
193500,0.49414987446321174,0.5464412584982813,0.00025,81.67
195750,0.48567338328156623,0.5474714639469981,0.00025,81.55
197750,0.49696856543025936,0.5349944012433291,0.00025,81.43
199750,0.5000847054482438,0.5560595037668944,0.00025,80.87
202000,0.4860851174138952,0.5475433187305927,0.00025,81.37
204000,0.48145842386875304,0.5479722121551633,0.00025,81.48
206000,0.49636938992422075,0.5472355223819614,0.00025,81.41
208250,0.48645109127881003,0.540954288585484,0.00025,81.28
210250,0.49367899326840414,0.5454126331046224,0.00025,81.59
212250,0.48890123105212113,0.5447617201060057,0.00025,81.35
214500,0.4688722162367776,0.5360611696615816,0.000125,81.86
216500,0.4792773629822768,0.536551988248527,0.000125,81.93
218500,0.47672069031232966,0.5364640415892005,0.000125,82.21
220750,0.4749877499532886,0.5401220575749874,0.000125,81.46
222750,0.4772717886390164,0.5378135628178715,0.000125,81.87
224750,0.47288156882114707,0.5292627266868949,0.000125,81.89
227000,0.4698334446502849,0.5343994279548526,0.000125,81.63
229000,0.46931313250493256,0.5316707018852234,0.000125,81.54
231000,0.46912972679641096,0.5309646928757429,0.000125,81.75
233250,0.46949662430444733,0.5319372882574797,0.000125,81.98
235250,0.45890524352015927,0.5353649527572095,0.000125,81.82
237250,0.4774717459289823,0.5337135168105364,0.000125,81.94
239500,0.47434781459067016,0.5338615496352315,0.000125,82.05
241500,0.4611498269722797,0.5317111972898245,6.25e-05,82.22
243500,0.46794187566265466,0.5288680771365761,6.25e-05,82.04
245750,0.47542016446171326,0.5359220552578569,6.25e-05,81.98
247750,0.4557659305126872,0.5323653977140784,6.25e-05,81.87
249750,0.449189146905439,0.5286619691491127,6.25e-05,81.87
252000,0.4673307736078277,0.5308194547459483,6.25e-05,81.94
254000,0.45822235246328635,0.5299916080713272,6.25e-05,82.13
256000,0.45248973938683046,0.5314939094424248,6.25e-05,82.38
258250,0.46084420396387576,0.5287231211841107,6.25e-05,82.15
260250,0.46345376707427205,0.5275852434694767,6.25e-05,82.24
262250,0.46750582244107497,0.5288389938391745,6.25e-05,82.39
264500,0.4565863455585204,0.5261108193978667,6.25e-05,82.12
266500,0.46060272864275614,0.5275456038877367,6.25e-05,82.3
268500,0.4627762714389246,0.524941784723103,6.25e-05,82.35
270750,0.45817965246737,0.53127982185781,6.25e-05,81.86
272750,0.46076870725443586,0.5273141550034285,6.25e-05,82.13
274750,0.46021662922343237,0.5266794431105256,6.25e-05,82.21
277000,0.45600140957394614,0.5276290374740958,6.25e-05,81.88
279000,0.46497441867599265,0.5283792325869202,6.25e-05,82.24
281000,0.45737872437317856,0.5263598509445786,6.25e-05,82.17
283250,0.4579777856161818,0.5272400962553918,6.25e-05,82.36
285250,0.4544868583753705,0.5292466780692339,3.125e-05,82.22
287250,0.4435846998686902,0.5245741919770837,3.125e-05,82.36
289500,0.4540444794436917,0.527192147128284,3.125e-05,82.11
291500,0.44686516773491164,0.5281920795887709,3.125e-05,82.18
293500,0.45411553379590625,0.5244438921794295,3.125e-05,82.26
295750,0.4415472239898518,0.527973341140151,3.125e-05,82.04
297750,0.46024865336157383,0.527525656093657,3.125e-05,82.06
299750,0.45665178285213187,0.5244062932632864,3.125e-05,82.4
302000,0.4451138024525717,0.5280880550079048,3.125e-05,82.49
304000,0.4476387469121255,0.5254337457247078,3.125e-05,82.33
306000,0.44987272143410517,0.5239445419326425,3.125e-05,82.07
308250,0.4450317289670929,0.5264264217101038,3.125e-05,82.22
310250,0.4501519405747531,0.5261133588612079,3.125e-05,81.92
312250,0.4648236794732511,0.531642393539846,3.125e-05,82.11
314500,0.435202355987858,0.5291524443089962,3.125e-05,82.36
316500,0.45499712254852054,0.5217678170189262,3.125e-05,82.21
318500,0.46967626875964924,0.5274823771759868,3.125e-05,82.43
320750,0.43679982725996525,0.5264723444029689,3.125e-05,82.2
322750,0.4580594773730263,0.5262312909334897,3.125e-05,81.95
324750,0.44642624708497897,0.5249863413468003,3.125e-05,82.09
327000,0.45742065519094466,0.5303500714287162,3.125e-05,82.22
329000,0.4551281781462021,0.522940745612979,3.125e-05,82.56
331000,0.4480317750070244,0.5238587257176638,3.125e-05,82.38
333250,0.4546940894271247,0.5233309233799577,1.5625e-05,82.15
335250,0.45557799938647076,0.522281763984263,1.5625e-05,82.24
337250,0.44881085455883296,0.5203121403992176,1.5625e-05,82.12
339500,0.4541061418373138,0.5217767506211997,1.5625e-05,82.33
341500,0.44467246102588254,0.5210933008737862,1.5625e-05,82.33
343500,0.45862394010275603,0.5246584150947631,1.5625e-05,82.45
345750,0.4404101971834898,0.5229066354468465,1.5625e-05,82.58
347750,0.4409220161838457,0.5232487244173885,1.5625e-05,82.31
349750,0.45504134019603953,0.5179310344517231,1.5625e-05,82.31
352000,0.4480784623157233,0.5186531996831298,1.5625e-05,82.39
354000,0.455157750116894,0.5213503721818328,1.5625e-05,82.33
356000,0.4456933433292434,0.5251798177450895,1.5625e-05,82.19
358250,0.45129693420417605,0.5188941980868578,1.5625e-05,82.34
360250,0.44683861269149927,0.5244452110931277,1.5625e-05,82.31
362250,0.45333939626254144,0.5236186705008149,1.5625e-05,82.13
364500,0.44617002896312624,0.5230577005423606,1.5625e-05,82.43
366500,0.46233279840508473,0.5225198447339237,7.8125e-06,82.07
368500,0.4467624009754509,0.5232169064670801,7.8125e-06,82.32
370750,0.4393230116534978,0.5243106412902474,7.8125e-06,82.32
372750,0.4520738873872906,0.5239373451307416,7.8125e-06,82.29
374750,0.4495534840659238,0.5224012725964189,7.8125e-06,82.3
